Released;Movie;Weekend;US Gross;Worldwide Gross;Budget;Type
03/21/2003;Dreamcatcher;15027423;33685268;75685268;68000000;Adapted
12/15/2006;Dreamgirls;378950;103365956;154965956;75000000;Musical
01/01/1980;Dressed to Kill;NULL;31899000;NULL;6500000;Original
03/21/2008;Drillbit Taylor;10309986;32862104;49686263;40000000;Original
09/16/2011;Drive;11340461;35060689;66387433;15000000;Adapted
02/25/2011;Drive Angry;5187625;10721033;40886464;50000000;Original
10/01/1999;Drive Me Crazy;6846112;17843379;22591451;8000000;Adapted
04/27/2001;Driven;12174504;32616869;54616869;72000000;Original
12/13/1989;Driving Miss Daisy;NULL;106593296;NULL;7500000;Adapted
07/23/1999;Drop Dead Gorgeous;3986269;10571408;NULL;10000000;Original
03/03/2000;Drowning Mona;5802229;15427192;NULL;16000000;Original
12/13/2002;Drumline;12604705;56398162;NULL;20000000;Original
12/15/2000;Dude, Where's My Car?;13845914;46729374;73180297;14000000;Original
08/27/1999;Dudley Do-Right;3018345;9818792;NULL;22000000;TV
11/05/2010;Due Date;32689406;100539043;211739043;65000000;Original
09/15/2000;Duets;2002588;4734235;NULL;16000000;Original
09/30/2005;Duma;105422;870067;994790;12000000;Adapted
12/16/1994;Dumb & Dumber;16363442;127175374;246400000;16000000;Original
06/13/2003;Dumb and Dumberer: When Harry Met Lloyd;10845064;26214846;NULL;30000000;Original
12/14/1984;Dune;6025091;27447471;NULL;45000000;Adapted
10/08/2005;Dungeons & Dragons 2: The Elemental Might;NULL;NULL;909822;15000000;Video Game
12/08/2000;Dungeons and Dragons;7237422;15185241;33771965;35000000;Video Game
09/26/2003;Duplex;4617128;9652000;10070651;40000000;Original
04/29/2011;Dylan Dog: Dead of Night;754779;1186538;5686538;20000000;Comics
04/04/2003;DysFunkTional Family;1079797;2255000;NULL;3000000;Real Events
06/11/1982;E.T. the Extra-Terrestrial;11911430;435110554;792965326;10500000;Original
09/26/2008;Eagle Eye;29150721;101440743;178066569;80000000;Original
04/22/2009;earth;8825760;32011576;109011576;15000000;TV
04/14/2000;East is East;53569;4170647;30767768;3000000;Adapted
09/14/2007;Eastern Promises;547092;17181265;55367342;50000000;Original
09/17/2010;Easy A;17734040;58401464;75330939;8000000;Adapted
05/22/2009;Easy Virtue;110443;2656784;12656784;14000000;Adapted
08/13/2010;Eat Pray Love;23104523;80574010;205846861;60000000;Adapted
09/30/1994;Ed Wood;NULL;5828466;NULL;18000000;Adapted
01/29/2010;Edge of Darkness;17214384;43313890;81208697;60000000;TV
07/14/2006;Edmond;19253;131719;241719;10000000;Adapted
03/26/1999;EDtv;8311290;22508689;35319689;60000000;Original
12/07/1990;Edward Scissorhands;159622;53976987;NULL;20000000;Original
02/17/2006;Eight Below;20188176;81612565;120612565;40000000;Remake
07/17/2002;Eight Legged Freaks;6485458;17266505;NULL;30000000;Original
11/15/2002;El Crimen de Padre;496290;5719000;NULL;1800000;Adapted
12/29/2006;El Laberinto del Fauno;568641;37634615;83234615;16000000;Original
02/26/1993;El Mariachi;312528;2040920;2041928;7000;Original
04/23/1999;Election;119080;14943582;17051071;8500000;Adapted
01/14/2005;Elektra;12804793;24409722;56409722;65000000;SpinNULLOff
11/07/2003;Elf;31113501;173398518;222124612;32000000;Original
11/06/1998;Elizabeth;275131;30082699;82150642;25000000;Real Events
10/14/2005;Elizabethtown;10618711;26850426;50719373;54000000;Original
04/09/2004;Ella Enchanted;6169030;22913677;NULL;35000000;Adapted
08/02/1996;Emma;240649;22231658;37831658;5900000;Adapted
12/06/2002;Empire;6281415;17504595;18495444;3500000;Original
10/06/2006;Employee of the Month;11407751;28444855;38364855;10000000;Original
11/21/2007;Enchanted;34440317;127706877;340384141;85000000;Original
11/24/1999;End of Days;20523595;66889043;212026975;100000000;Original
01/20/2006;End of the Spear;4281388;11748661;11873996;10000000;Original
03/16/2001;Enemy at the Gates;13810266;51396781;96971293;85000000;Real Events
11/20/1998;Enemy of the State;20038573;111549836;250649836;85000000;Original
05/24/2002;Enough;14009653;39177215;NULL;38000000;Original
09/24/2010;Enter the Void;43651;337997;NULL;16000000;Adapted
04/30/1999;Entrapment;20145595;87707396;211700000;66000000;Original
01/30/2009;Entre les murs;155190;3766810;28866810;3250000;Adapted
04/30/2004;Envy;6160886;13548322;14566246;20000000;Original
01/26/2007;Epic Movie;18612544;39739367;86858578;20000000;Original
12/06/2002;Equilibrium;541512;1190018;5345869;20000000;Original
12/15/2006;Eragon;23239907;75030163;249488115;100000000;Adapted
06/21/1996;Eraser;24566446;101295562;234400000;100000000;Original
03/17/2000;Erin Brockovich;28138465;125548685;257805243;50000000;Real Events
08/09/1996;Escape from L.A.;8912557;25426861;NULL;50000000;Original
07/10/1981;Escape from New York;4162385;25244700;NULL;6000000;Original
03/19/2004;Eternal Sunshine of the Spotless Mind;8175198;34366518;47066518;20000000;Adapted
10/15/2004;Eulogy;41788;70527;NULL;10000000;Original
02/20/2004;Eurotrip;6711384;17718223;20718223;25000000;Original
06/22/2007;Evan Almighty;31192615;100289690;173219280;175000000;Original
11/07/1997;Eve's Bayou;3287846;14843425;NULL;5000000;Original
08/15/1997;Event Horizon;9511915;26673242;NULL;60000000;Original
07/31/1998;Ever After: A Cinderella Story;8526904;65705772;NULL;26000000;Adapted
12/04/2009;Everybody's Fine;3852068;9208876;NULL;20000000;Remake
12/06/1996;Everyone Says I Love You;131678;9725847;34600000;20000000;Original
05/13/2011;Everything Must Go;791676;2712131;NULL;5000000;Adapted
11/02/2001;Everything Put Together;NULL;NULL;NULL;500000;Original
08/11/1972;Everything You Always Wanted to Know;NULL;18016290;NULL;2000000;Adapted
12/25/1996;Evita;195085;50047179;151947179;55000000;Musical
06/08/2001;Evolution;13408351;38311134;98341932;80000000;Original
03/15/1996;Executive Decision;12069780;56679192;122079192;55000000;Original
04/23/1999;eXistenZ;810262;2840417;NULL;20700000;Original
03/16/2001;Exit Wounds;18485586;51758599;79958599;33000000;Adapted
08/20/2004;Exorcist: The Beginning;18054001;41814863;43957541;78000000;Adapted
09/23/1994;Exotica;100654;5046118;NULL;1500000;Original
09/04/2009;Extract;4340108;10823158;10849158;7500000;Original
01/22/2010;Extraordinary Measures;6012594;12482741;15875401;31000000;Real Events
09/27/1996;Extreme Measures;6906546;17378193;NULL;38000000;Adapted
11/27/2002;Extreme Ops;2233525;4835968;12624471;40000000;Original
01/12/1996;Eye for an Eye;7929086;26792700;NULL;20000000;Adapted
01/28/2000;Eye of the Beholder;5959447;16500786;18260865;15000000;Original
07/16/1999;Eyes Wide Shut;21706163;55691208;86257553;65000000;Adapted
04/13/1978;F.I.S.T;NULL;20388920;NULL;11000000;Real Events
12/10/2004;Fabled;9642;31425;31425;400000;Original
06/27/1997;Face/Off;23387530;112276146;241200000;80000000;Original
09/29/2006;Facing the Giants;1343537;10178331;NULL;100000;Original
12/29/2006;Factory Girl;NULL;1661464;NULL;7000000;Real Events
06/23/2004;Fahrenheit 9/11;23920637;119114517;222414517;6000000;Real Events
03/10/2006;Failure to Launch;24411322;88715192;128402901;50000000;Original
11/03/1995;Fair Game;4946332;11497497;26097497;50000000;Adapted
04/05/1996;Faithful;967956;2104439;2500000;13000000;Adapted
09/25/2009;Fame;10011682;22455510;77956957;18000000;Remake
04/09/1976;Family Plot;NULL;13200000;NULL;3000000;Adapted
11/13/1940;Fantasia;6047613;83320000;NULL;2280000;Original
01/01/2000;Fantasia 2000;5202010;69610858;NULL;80000000;Original
07/08/2005;Fantastic Four;56061504;154696080;330717080;87500000;Comics
06/15/2007;Fantastic Four: Rise of the Silver Surfer;58051684;131921738;288215319;120000000;Comics
11/13/2009;Fantastic Mr. Fox;265900;21002919;46498922;40000000;Adapted
11/08/2002;Far From Heaven;211279;15901849;29027914;13500000;Original
01/30/2007;Farce of the Penguins;NULL;NULL;NULL;5000000;Original
03/08/1996;Fargo;730265;24567751;51204567;7000000;Real Events
01/28/2005;Fascination;9018;16670;83356;5000000;Original
04/03/2009;Fast & Furious;70950500;155064265;363064265;85000000;Adapted
04/29/2011;Fast Five;86198765;209837675;628566239;125000000;Adapted
08/13/1982;Fast Times at Ridgemont High;2545674;27092880;NULL;4500000;Adapted
11/24/2010;Faster;8523153;23240020;35658648;12000000;Original
12/25/2004;Fat Albert;10021510;48114556;48563556;45000000;TV
09/18/1987;Fatal Attraction;7602740;156645693;320100000;14000000;Original
01/06/2006;Fateless;12680;196857;NULL;12000000;Adapted
05/09/1997;Father's Day;8776159;28681080;35681080;85000000;Remake
05/22/1998;Fear and Loathing in Las Vegas;4335095;10680275;13711903;18500000;Adapted
08/30/2002;FearDotCom;5710128;13208023;NULL;40000000;Original
09/22/2006;Feast;54556;56131;341808;3200000;Original
11/12/1999;Felicia's Journey;43131;824295;1970268;15000000;Adapted
11/06/2002;Femme Fatale;2776248;6630252;16830252;35000000;Original
06/30/2006;Fengkuang de Shitou;NULL;NULL;3000000;500000;Original
10/09/1998;Festen;NULL;1647780;NULL;1300000;Original
03/17/2006;Fetching Cody;NULL;NULL;NULL;1500000;Original
04/08/2005;Fever Pitch;12400125;42071069;50071069;40000000;Adapted
01/01/1971;Fiddler on the Roof;NULL;80500000;NULL;9000000;Musical
06/15/2007;Fido;10203;298110;419801;8000000;Original
10/15/1999;Fight Club;11035485;37030102;100853753;65000000;Adapted
05/06/2005;Fighting Tommy Riley;5199;10514;NULL;300000;Original
03/17/2000;Final Destination;10015822;53302314;112802314;23000000;Original
01/31/2003;Final Destination 2;16017141;46896664;90396664;26000000;Original
02/10/2006;Final Destination 3;19173094;54098051;112798051;25000000;Original
08/12/2011;Final Destination 5;18031396;42587643;153530346;40000000;Original
07/11/2001;Final Fantasy: The Spirits Within;11408853;32131830;85131830;137000000;Video Game
03/17/2006;Find Me Guilty;608804;1173673;1788077;13000000;Real Events
12/19/2000;Finding Forrester;701207;51768623;80013623;43000000;Original
05/30/2003;Finding Nemo;70251710;339714978;867894287;94000000;Original
11/12/2004;Finding Neverland;220524;51676606;118676606;25000000;Adapted
10/05/2007;Finishing the Game;11903;52850;NULL;500000;Original
06/18/1982;Firefox;8152948;45785720;NULL;21000000;Adapted
09/26/2008;Fireproof;6804764;33456317;NULL;500000;Original
01/09/1998;Firestorm;3849308;8123860;NULL;19000000;Original
10/22/1982;First Blood;6642005;47212904;125212904;14000000;Adapted
09/24/2004;First Daughter;4002067;9055010;10419084;30000000;Original
07/07/1995;First Knight;10856442;37361412;127361412;75000000;Adapted
09/08/2000;Fiza;374708;623791;1179462;1000000;Original
10/20/2006;Flags of Our Fathers;10245190;33602376;61902376;53000000;Adapted
12/05/1980;Flash Gordon;3934030;27107960;NULL;35000000;Comics
04/15/1983;Flashdance;4076124;90463574;201463574;7000000;Original
08/10/1990;Flatliners;10034685;61308153;NULL;26000000;Original
11/24/1999;Flawless;1590155;4485485;NULL;27000000;Original
07/19/1996;Fled;5405855;17192205;19892205;30000000;Original
10/20/2006;Flicka;7703551;21000147;21893591;15000000;Adapted
01/18/1991;Flight of the Intruder;5725133;14471440;NULL;35000000;Adapted
12/17/2004;Flight of the Phoenix;5019430;21009180;34009180;75000000;Remake
09/23/2005;Flightplan;24629938;89706988;225706988;55000000;Original
05/17/1996;Flipper;4209525;20080020;30593313;25530000;TV
03/22/1996;Flirting with Disaster;164458;14853474;16149180;7000000;Original
11/26/1997;Flubber;26725207;92993801;177993801;80000000;Remake
11/03/2006;Flushed Away;18814323;64665672;177665672;149000000;Original
08/15/2008;Fly Me To the Moon;1900523;14543943;40098231;25000000;Original
09/22/2006;Flyboys;6004219;13090630;14816379;60000000;Real Events
08/31/2007;Fong juk;15502;51957;NULL;4500000;Original
12/31/2009;Foodfight!;NULL;NULL;NULL;65000000;Original
02/08/2008;Fool's Gold;21589295;70231041;109362966;72500000;Original
04/09/1999;Foolish;2184633;6026908;NULL;1600000;Original
02/17/1984;Footloose;8556935;80000000;NULL;8200000;Original
10/14/2011;Footloose;15556113;51802742;62767532;24000000;Remake
05/10/1967;For a Few Dollars More
;NULL;4300000;NULL;600000;Original
09/17/1999;For Love of the Game;13041685;35188640;46112640;50000000;Adapted
11/17/2006;For Your Consideration;372012;5549923;NULL;12000000;Original
06/26/1981;For Your Eyes Only;6834967;54800000;195300000;28000000;Adapted
04/18/2008;Forgetting Sarah Marshall;17725330;63172463;105173042;30000000;Original
10/18/2002;Formula 51;2817719;5204007;NULL;27000000;Original
07/06/1994;Forrest Gump;24450602;329694499;679400525;55000000;Adapted
09/03/1993;Fortress;4040711;6730578;46730578;12000000;Original
09/28/2005;Forty Shades of Blue;8795;75828;172569;1500000;Original
08/12/2005;Four Brothers;21176925;74494381;92494381;30000000;Original
11/26/2008;Four Christmases;31069826;120146040;163546040;80000000;Original
12/25/1995;Four Rooms;NULL;4301000;NULL;4000000;Original
03/09/1994;Four Weddings and a Funeral;NULL;52700832;242895809;4500000;Original
04/12/2002;Frailty;4208655;13110448;17423030;11000000;Original
11/04/1994;Frankenstein;11212889;22006296;112006296;45000000;Adapted
10/01/2010;Freakonomics;31893;101270;117270;2900000;Adapted
08/06/2003;Freaky Friday;22203007;110222438;160822438;26000000;Remake
04/20/2001;Freddy Got Fingered;7098459;14249005;NULL;15000000;Original
08/15/2003;Freddy vs. Jason;36428066;82622655;114576403;25000000;SpinNULLOff
09/13/1991;Freddy's Dead: The Final Nightmare;12966525;34872033;NULL;5000000;Original
01/05/2007;Freedom Writers;9405582;36605602;43090741;21000000;Adapted
08/23/1996;Freeway;NULL;295493;NULL;3000000;Original
12/10/2004;Freeze Frame;NULL;NULL;91062;2000000;Original
06/21/1972;Frenzy;NULL;12600000;NULL;3500000;Adapted
04/28/2000;Frequency;9025584;44983704;68079671;31000000;Original
10/25/2002;Frida;205996;25885000;56298474;12000000;Real Events
04/26/1995;Friday;6589341;27467564;27936778;3500000;Original
11/22/2002;Friday After Next;13010767;33253609;33526835;10000000;Original
10/08/2004;Friday Night Lights;20269025;61255921;61950770;30000000;Adapted
02/13/2009;Friday the 13th;40570365;65002019;91700771;17000000;SpinNULLOff
04/07/2006;Friends with Money;589332;13368437;17518322;6500000;Original
08/19/2011;Fright Night;8114388;18298649;37098649;30000000;Remake
01/19/1996;From Dusk Till Dawn;10240805;25728961;NULL;20000000;Original
10/19/2001;From Hell;11014818;31598308;NULL;35000000;Comics
06/20/2003;From Justin to Kelly;2715848;4922166;NULL;12000000;TV
02/05/2010;From Paris With Love;8158860;24077427;53139168;52000000;Original
04/08/1964;From Russia With Love;NULL;24800000;78900000;2000000;Adapted
12/05/2008;Frost/Nixon;180708;18622031;28144586;29000000;Adapted
08/01/2008;Frozen River;70234;2511476;5289350;1000000;Original
08/02/2002;Full Frontal;739834;2512846;3438804;2000000;Original
12/21/2005;Fun With Dick And Jane;14383515;110550000;201798116;140000000;Remake
04/29/2005;Funny Ha Ha;10555;77070;NULL;30000;Original
07/31/2009;Funny People;22657780;51855045;71880305;72500000;Original
11/10/2006;Fur;28815;223202;2281089;16800000;Adapted
04/30/2010;Furry Vengeance;6627564;17630465;35930465;35000000;Original
07/24/2009;G-Force;31706934;119436770;287389685;150000000;Original
08/22/1997;G.I. Jane;11094241;48169156;NULL;50000000;Original
08/07/2009;G.I. Joe: The Rise of Cobra;54713046;150201498;302469017;175000000;Cartoon
03/16/2001;Gabriela;63706;2335352;NULL;50000;Original
12/24/1999;Galaxy Quest;7012630;71423726;90523726;45000000;Original
12/08/1982;Gandhi;131153;52767889;NULL;22000000;Real Events
08/03/2007;Gandhi, My Father;174425;240425;1375194;5000000;Adapted
12/20/2002;Gangs of New York;9496870;77730500;190400000;97000000;Original
07/28/2004;Garden State;201115;26782316;32381151;2500000;Original
06/11/2004;Garfield;21727611;75367693;200802638;50000000;Comics
10/24/1997;Gattaca;4320202;12532777;NULL;36000000;Original
10/30/2009;Gentlemen Broncos;11502;113682;118482;9500000;Original
12/31/2004;George and the Dragon;NULL;NULL;NULL;32000000;Original
07/16/1997;George Of The Jungle;16540791;105263257;174463257;55000000;TV
05/11/2007;Georgia Rule;6773870;18882880;20819601;20000000;Original
10/06/2000;Get Carter;6637830;14967182;19417182;40000000;Remake
06/04/2010;Get Him to the Greek;17570955;61153526;91455875;40000000;SpinNULLOff
10/16/1996;Get on the Bus;2156409;5691854;NULL;2400000;Real Events
03/09/2001;Get Over It;4134977;11560259;19860259;10000000;Original
04/30/1999;Get Real;54254;1152411;NULL;2000000;Adapted
11/09/2005;Get Rich or Die Tryin';12020807;30981850;46437122;40000000;Original
10/20/1995;Get Shorty;12700007;72021008;115021008;30250000;Adapted
07/13/1990;Ghost;12191373;217631306;517600000;22000000;Original
03/03/2000;Ghost Dog: The Way of the Samurai;166344;3330230;6030230;2000000;Original
02/16/2007;Ghost Rider;45388836;115802596;237702596;120000000;Comics
10/25/2002;Ghost Ship;11503423;30113491;68349884;20000000;Original
09/19/2008;Ghost Town;5012315;13252641;26612350;20000000;Original
07/20/2001;Ghost World;98791;6217849;8764007;5500000;Comics
06/08/1984;Ghostbusters;13612564;238632124;291632124;30000000;Original
08/24/2001;Ghosts of Mars;3804452;8434601;NULL;28000000;Original
12/20/1996;Ghosts of Mississippi;168012;13052741;NULL;36000000;Real Events
08/01/2003;Gigli;3753518;6087542;7266209;54000000;Original
03/22/1996;Girl 6;2485764;4880941;NULL;12000000;Original
12/12/2003;Girl with a Pearl Earring;89472;11634362;22106210;12000000;Adapted
12/21/1999;Girl, Interrupted;95399;28871190;NULL;24000000;Real Events
05/05/2000;Gladiator;34819017;187683805;457683805;103000000;Original
08/12/2011;Glee: The 3D Concert Movie;5961231;11862398;17462398;9000000;TV
09/30/1992;Glengarry Glen Ross;2104402;10725228;NULL;12500000;Adapted
09/21/2001;Glitter;2414596;4273372;NULL;8500000;Original
01/22/1999;Gloria;2143089;4167493;4967493;30000000;Remake
12/14/1989;Glory;NULL;26593580;NULL;18000000;Adapted
04/09/1999;Go!;4706795;16875273;28383441;6500000;Original
05/12/2006;Goal!;1921838;4283255;27610873;33000000;Original
03/10/2000;God's Army;88584;2637726;2652515;300000;Original
11/06/1998;Gods and Monsters;75508;6451628;NULL;3500000;Adapted
04/30/2004;Godsend;6800617;14334645;16910708;30000000;Original
05/20/1998;Godzilla;44047541;136314294;376000000;125000000;Remake
08/18/2000;Godzilla 2000;4407720;10037390;NULL;1000000;Remake
12/07/2007;Golden Compass;25783232;70107728;372234864;205000000;Adapted
11/17/1995;Goldeneye;26205007;106429941;356429941;60000000;Adapted
12/22/1964;Goldfinger;NULL;51100000;124900000;3000000;Adapted
06/09/2000;Gone in 60 Seconds;25336048;101643008;232643008;103300000;Remake
12/15/1939;Gone with the Wind;945000;198680470;390525192;3900000;Adapted
10/19/2007;Gone, Baby, Gone;5501406;20300218;34619699;19000000;Adapted
12/31/2008;Good;9508;31631;NULL;16000000;Adapted
10/10/2003;Good Boy!;13107022;37667746;45312217;17000000;Adapted
02/24/2012;Good Deeds;15583924;34426153;NULL;14000000;Original
10/10/2008;Good Dick;5036;28835;40835;200000;Original
09/21/2007;Good Luck Chuck;13652001;35017297;59183821;25000000;Original
12/23/1987;Good Morning, Vietnam;NULL;123922370;NULL;13000000;Original
10/07/2005;Good Night, and Good Luck;421446;31501218;54601218;7000000;Real Events
12/05/1997;Good Will Hunting;272912;138433435;225933435;10000000;Original
04/13/2007;Goodbye Bafana;NULL;NULL;2717302;30000000;Adapted
02/27/2004;Goodbye, Lenin!;57968;4063859;79316616;6400000;Original
09/19/1990;Goodfellas;6368901;46743809;NULL;25000000;Adapted
01/21/2005;Gory Gory Hallelujah;2360;12604;NULL;425000;Original
12/26/2001;Gosford Park;241219;41300105;NULL;18000000;Original
04/21/2000;Gossip;2321729;5108820;12591270;14000000;Original
06/01/2007;Gracie;1355904;2956339;3036736;9000000;Real Events
12/12/2008;Gran Torino;271720;148095302;262345302;25000000;Original
01/06/2006;Grandma's Boy;3009341;6090172;6590172;5000000;Original
06/16/1978;Grease;8941717;181813770;387513770;6000000;Musical
06/17/2011;Green Lantern;53174303;116601172;222001172;200000000;Comics
03/12/2010;Green Zone;14309295;35497337;97523020;100000000;Adapted
06/08/1984;Gremlins;12511634;148168459;NULL;11000000;Original
06/15/1990;Gremlins 2: The New Batch;9702804;41476097;NULL;50000000;Original
09/15/2006;Gridiron Gang;14414630;38432823;41480851;30000000;Real Events
04/06/2007;Grindhouse;11596613;25031037;50187789;53000000;Original
04/28/2006;Grip: A Criminal's Story;838;1336;NULL;12000;Original
06/09/2000;Groove;55946;1115313;1167524;500000;Original
04/11/1997;Grosse Pointe Blank;6870397;28084357;31070412;15000000;Original
02/12/1993;Groundhog Day;14652108;70906973;NULL;14600000;Original
06/25/2010;Grown Ups;40506564;162001186;272223430;75000000;Original
03/25/2005;Guess Who;20671446;68915888;102115888;35000000;Remake
09/24/2004;Guiana 1838;70910;227241;NULL;1000000;Real Events
12/22/2010;Gulliver's Travels;6307691;42779261;239179261;112000000;Adapted
02/04/2000;Gun Shy;703109;1638202;2500000;10000000;Original
03/09/2007;Gwoemul;314488;2201923;92618117;12000000;Original
03/01/1991;Haakon Haakonsen;3871766;15024232;NULL;8500000;Adapted
04/01/2011;Haevnen;33058;1008098;5691237;5500000;Original
07/20/2007;Hairspray;27476745;118871849;202871849;75000000;Remake
01/16/1998;Half Baked;6752970;17394881;NULL;8000000;Original
11/15/2002;Half Past Dead;7820536;15567860;19233280;25000000;Original
08/28/2009;Halloween 2;16349565;33392973;38512850;15000000;Original
12/25/1996;Hamlet;90684;4501094;7129670;18000000;Adapted
05/12/2000;Hamlet;62253;1577287;2288841;2000000;Adapted
08/22/2008;Hamlet 2;439925;4886216;4898285;9000000;Original
07/02/2008;Hancock;62603879;227946274;624346274;150000000;Original
08/03/1968;Hang 'em High;NULL;6800000;NULL;1800000;Original
02/18/2000;Hanging Up;15710411;36037909;51867723;40000000;Original
02/01/2008;Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour;31117834;65281781;71281781;6500000;Real Events
02/09/2001;Hannibal;58003121;165092266;350100280;87000000;Adapted
02/09/2007;Hannibal Rising;13051650;27669725;80583311;50000000;Adapted
12/31/2011;Hannibal the Conqueror;NULL;NULL;NULL;50000000;Adapted
01/05/2007;Happily N'Ever After;6608244;15849032;38344430;47000000;Original
10/16/1998;Happiness;130303;2746453;5746453;3000000;Original
11/17/2006;Happy Feet;41533432;198000317;385000317;85000000;Original
11/18/2011;Happy Feet Two;21237068;64006466;119606466;135000000;Original
02/16/1996;Happy Gilmore;10112005;38623460;41004412;10000000;Original
10/01/1999;Happy, Texas;72056;2039192;2891228;1700000;Original
04/14/2006;Hard Candy;58049;1024640;7024640;950000;Original
01/16/1998;Hard Rain;7076110;19870567;NULL;70000000;Original
09/14/2001;Hardball;9386342;40222729;44102389;21000000;Adapted
08/23/1991;Harley Davidson and the Marlboro Man;2200549;7018525;NULL;23000000;Original
04/25/2008;Harold & Kumar Escape from Guantanamo Bay;14908404;38108728;43231984;12000000;Original
07/30/2004;Harold & Kumar Go to White Castle;5480378;18225165;NULL;9000000;Original
07/10/1996;Harriet the Spy;6601651;26570048;NULL;13000000;Adapted
11/15/2002;Harry Potter and the Chamber of Secrets;88357488;261987880;878979634;100000000;Adapted
11/19/2010;Harry Potter and the Deathly Hallows: Part I;125017372;295983305;956399711;125000000;Adapted
07/15/2011;Harry Potter and the Deathly Hallows: Part II;169189427;381011219;1328111219;125000000;Adapted
11/18/2005;Harry Potter and the Goblet of Fire;102685961;290013036;896911078;150000000;Adapted
07/15/2009;Harry Potter and the Half-Blood Prince;77835727;301959197;934416487;250000000;Adapted
07/11/2007;Harry Potter and the Order of the Phoenix;77108414;292004738;942943935;150000000;Adapted
06/04/2004;Harry Potter and the Prisoner of Azkaban;93687367;249538952;796688549;130000000;Adapted
11/16/2001;Harry Potter and the Sorcerer's Stone;90294621;317575550;974755371;125000000;Adapted
11/10/2006;Harsh Times;1968505;3337931;5963961;2000000;Original
02/15/2002;Hart's War;7771753;19076815;33076815;70000000;Adapted
06/19/1998;Hav Plenty;1102036;2301777;NULL;650000;Original
01/20/2012;Haywire;8425370;18942396;NULL;23000000;Original
05/01/1998;He Got Game;7610663;21567853;NULL;25000000;Original
03/28/2003;Head of State;13503484;37788228;38283765;35200000;Original
02/02/2001;Head Over Heels;4804595;10397365;NULL;14000000;Original
12/18/1981;Heartbeeps;407464;6000000;NULL;10000000;Original
03/23/2001;Heartbreakers;11801323;40334024;57753825;38000000;Original
09/28/2001;Hearts in Atlantis;9021494;24185781;30885781;31000000;Adapted
08/07/1981;Heavy Metal;3261186;19571091;NULL;9300000;Comics
07/20/2001;Hedwig and the Angry Inch;156724;3067312;3643900;6000000;Musical
11/09/2001;Heist;7823521;23483357;28483168;35000000;Original
05/12/2000;Held Up;1911007;4714090;NULL;8000000;Original
04/02/2004;Hellboy;23172440;59623958;99823958;60000000;Comics
07/11/2008;Hellboy II: The Golden Army;34539115;75986503;160388063;82500000;Comics
09/18/1987;Hellraiser;4653232;14564000;NULL;1000000;Adapted
11/08/1989;Henry V;NULL;10161099;NULL;9000000;Adapted
06/15/1997;Hercules;249567;99112101;250700000;70000000;Adapted
03/24/2000;Here on Earth;4510705;10494147;10845127;15000000;Original
10/02/1992;Hero;5210875;19487173;66787173;42000000;Original
08/27/2004;Hero;18004319;53652140;177352140;17000000;Original
10/24/2008;Heroes;326425;655538;NULL;400000;Original
05/13/2011;Hesher;126046;382946;NULL;7000000;Original
06/28/2002;Hey Arnold! The Movie;5706332;13684949;NULL;10000000;TV
03/05/2004;Hidalgo;18829435;67286731;107336658;78000000;Original
01/28/2005;Hide and Seek;21959233;51100486;123100486;25000000;Original
04/05/2002;High Crimes;14005550;41543207;63781100;42000000;Adapted
03/31/2000;High Fidelity;6429107;27277055;47881663;20000000;Adapted
01/01/1972;High Plains Drifter;NULL;15700000;NULL;15700000;Original
10/24/2008;High School Musical 3: Senior Year;42030184;90559416;251059416;11000000;TV
06/10/2005;High Tension;1897705;3681066;5208449;2850000;Original
08/26/2011;Higher Ground;21495;841056;853831;1800000;Adapted
03/07/1986;Highlander;2453021;5900000;12900000;16000000;Original
09/01/2000;Highlander: Endgame;6223330;12801190;NULL;15000000;Original
01/27/1995;Highlander: The Final Dimension
;5636435;13738574;NULL;26000000;Original
06/12/1981;History of the World: Part I;4892731;31672000;NULL;11000000;Original
02/11/2005;Hitch;43142214;177784257;366784257;55000000;Original
11/21/2007;Hitman;13180769;39687694;99965792;17500000;Original
05/06/2011;Hobo with a Shotgun;12046;703372;NULL;3000000;Original
07/16/1993;Hocus Pocus;8125471;39360491;NULL;28000000;Original
04/18/2003;Holes;16300155;67383924;72383924;20000000;Adapted
08/04/2000;Hollow Man;26414386;73209340;191200000;90000000;Original
05/03/2002;Hollywood Ending;2017981;4839383;14839383;16000000;Original
06/13/2003;Hollywood Homicide;11112632;30207785;51107785;75000000;Original
04/29/2005;Holy Girl;28327;304124;1261792;1400000;Original
10/09/1998;Holy Man;5106919;12069719;NULL;60000000;Original
11/16/1990;Home Alone;17081997;285761243;476684675;15000000;Original
11/20/1992;Home Alone 2: Lost in New York;31126882;173585516;358994850;20000000;Original
11/03/1995;Home for the Holidays;4007717;17468887;22119269;20000000;Adapted
11/25/1998;Home Fries;3784023;10513979;NULL;15000000;Original
04/02/2004;Home on the Range;13880771;50026353;76482461;110000000;Original
12/05/2003;Honey;12856040;30272254;62192232;18000000;Original
12/16/2005;Hoodwinked;12401900;51386611;110011106;17500000;Adapted
04/29/2011;Hoodwinked Too! Hood vs. Evil;4108630;10143779;16932317;30000000;Adapted
12/11/1991;Hook;13522535;119654823;300854823;70000000;Adapted
10/14/1994;Hoop Dreams;NULL;7768371;11768371;700000;Real Events
05/05/2006;Hoot;3368197;8117637;8224998;15000000;Adapted
